priority,epic,atomic_task,rationale,affected_paths,acceptance_criteria,adversarial_or_behavioral_test,dependencies,suggested_pr,status
P0,Source integrity,"Unify metadata identity, locator, and entailment statuses",A correct reference can still fail to support a claim,nature-citation; nature-ref-verifier; nature-paper-card,"Separate identity_status, locator_status, entailment_status, source_version_status",Correct DOI/wrong-support fixture is blocked,Provenance graph,PR3,proposed
P0,Source integrity,Add correction/retraction/preprint-version relations,Outdated or retracted sources may remain trusted,academic-source (new),Source record stores version relations and current integrity status; release gate lists affected claims,Retracted-source mutation invalidates support edge,Unified source object,PR3,proposed
P0,Assurance,Replace binary readiness with assurance vector,"Internal consistency, reproducibility, verification, and replication are distinct",academic-paper-pipeline; atomic-claim-verification.md,Release report exposes each dimension and never upgrades unverified dimensions,A1 manuscript cannot be labeled independently verified,State kernel,PR5,proposed
P0,Assurance,Separate scientific assurance from target readiness,Journal transfer should not reopen verified science,academic-paper-pipeline; journal resolver,Target projection is independent object; switching venue changes mechanics only,Transfer from Venue A to B preserves claim/data assurance,Assurance vector,PR5,proposed
P0,Reporting resolver,Resolve reporting/design standards by study and result type,One generic checklist cannot cover heterogeneous scholarship,academic-shared/adapters/reporting-guidelines (new),"Resolver returns applicable adapters, versions, required items, N/A rationale, source review date",Hybrid paper composes two adapters without conflict,Canonical taxonomy,PR5,proposed
P0,Section contracts,Create machine-readable contract schema,Rich prose guidance produces inconsistent decisions,academic-writing/contracts (new),"Reader question, required inputs, allowed claims, forbidden moves, traceability, reporting hooks, invariants, exit tests",Missing denominator deterministically fails Results contract,State kernel; taxonomy,PR4,proposed
P0,Section contracts,Add contracts for missing front/back matter,"Keywords, declarations, availability, accessibility, and supplements are not first-class",academic-writing/contracts/sections (new),Contracts exist for title through post-publication metadata and are adapter-aware,Submission fixture fails when AI-use or data availability state is unresolved,Contract schema,PR4,proposed
P0,Traceability,Enforce Methods↔Results bidirectional links,"Orphan methods, outcome switching, and HARKing are hard to detect",academic-writing validators; provenance graph,Every consequential method has a downstream status; every result links plan/method/data/analysis,Orphan method and unplanned result fixtures fail,Provenance graph; section contracts,PR4,proposed
P0,Figures,Link every figure/table to an analysis and data snapshot,Visual evidence can drift from reported results,nature-figure; figure schema,"Figure spec includes claim, analysis, data, render receipt, source data, alt text, long description",Old-snapshot figure mutation fails consistency gate,Analysis provenance,PR3,proposed
P0,Statistics,Expand nature-statistics into analysis-and-inference,Reporting checks cannot repair design/analysis mismatch,skills/analysis-and-inference (new); nature-statistics,"Core interfaces for estimand, assumptions, missingness, multiplicity, diagnostics, sensitivity, dependence",Pseudoreplication and non-significance-as-equivalence fixtures fail,Research contract; analysis plan,PR3,proposed
P0,Search,Separate discovery recommendation from manuscript evidence search,Daily ranking and journal-quality weights can bias evidence selection,nature-literature-pipeline; nature-academic-search,"Recommender outputs marked discovery-only; manuscript modes log search, screening, coverage, stopping",Top-5 digest cannot be labeled systematic evidence base,,PR7,proposed
P0,Architecture,Move PPT/patent/download utilities outside implicit scientific routing,Downstream tools obscure canonical scientific responsibilities,nature-image2ppt; nature-paper2ppt; nature-paper-to-patent; nature-downloader,Utilities are explicit-only and consume validated project objects,Academic-writing invocation never loads PPT/patent utilities,,PR7,proposed
P0,Integrity,Add confidentiality and permitted-AI-processing state,Unpublished manuscripts/data may be exposed to unapproved services,project schema; ethics; reviewer,Confidentiality label and processing policy are mandatory before external tools; violations block,Confidential review packet cannot be sent to unapproved AI,State kernel,PR2,proposed
P0,Integrity,Add AI-use disclosure and human accountability record,Current policies require explicit human responsibility and often disclosure,declarations/ai-use.yaml (new),"Tool, purpose, inputs, confidentiality, human checks, output role, target policy, disclosure location",AI-generated draft with missing disclosure fails target gate,Confidentiality state,PR4,proposed
P0,Testing,Build behavioral fixture harness,Phrase assertions do not test scientific behavior,tests/fixtures; CI workflows,"Fixture runner compares claims, links, blockers, assurance, release; deterministic schema errors",At least 20 P0 red/green fixtures,,PR6,proposed
P0,Testing,Add mutation and adversarial tests,Small qualifier/denominator/version changes cause high-risk failures,tests/mutations (new),"Mutations cover causal verbs, qualifiers, denominators, source versions, hashes, prespecification",Each mutation changes expected state and is caught,Behavioral harness,PR6,proposed
P0,Review,Freeze and hash independent review packets,Reviewer independence is currently instructional,nature-reviewer; review schema,"Packet hash, allowed context, competence/conflict profile, no editor conclusion in reviewer packet",Leakage test detects editor-decision text in reviewer input,State kernel,PR6,proposed
P1,Sampling and precision,Add power/precision/information-adequacy adapters,Adequacy criteria vary by design,research-design adapters,"Adapters for trials, observational, prediction, qualitative, corpus, theory/resource",Retrospective power justification flagged where inappropriate,Research design,PR8,proposed
P1,Causal inference,Add estimand and target-trial adapter,Causal claims require explicit target and assumptions,analysis-and-inference/adapters/causal,"Time zero, strategies, assignment, outcome, estimand, confounders, identification, sensitivity",Immortal-time and target-population mismatch fixtures fail,Analysis core,PR8,proposed
P1,Prediction and ML,Add leakage/calibration/fairness/external-testing adapter,Accuracy-only benchmark reporting is insufficient,analysis-and-inference/adapters/prediction,"Split provenance, tuning boundary, calibration, subgroup/fairness, external testing, utility, compute",Patient leakage and internal-as-external fixtures fail,Data/analysis provenance,PR8,proposed
P1,Evidence synthesis,Add systematic-review risk-of-bias and certainty objects,Search alone does not establish synthesis credibility,academic-search/adapters/systematic-review,"Screening, extraction, RoB per result, synthesis, heterogeneity, certainty, update date",Selective pooling and missing risk-of-bias fixtures fail,Source and search state,PR8,proposed
P1,Qualitative research,"Add reflexivity, coding, saturation, and audit-trail adapter",Quantitative contracts cannot substitute for qualitative rigor,research-design/adapters/qualitative,"Researcher position, sampling rationale, codebook, coder roles, adjudication, negative cases, information adequacy",Unsupported saturation and missing quote provenance fail,Project/source state,PR8,proposed
P1,Declarations,Add contributor confirmation and CRediT-compatible roles,Contribution should be agreed and machine-readable but not decide authorship,declarations/contributions.yaml,Role assignments confirmed; authorship criteria handled separately; contributor changes versioned,Unconfirmed role and ghost contributor fixture fail,State kernel,PR4,proposed
P1,Declarations,"Add funding, funder role, and conflict ledger",Funding/COI can affect interpretation and submission,declarations/funding-conflicts.yaml,"Awards, support, funder role, financial/nonfinancial conflicts, management, confirmations",Funder analysis role omitted in manuscript fails consistency,State kernel,PR4,proposed
P1,Accessibility,Add figure/table/media accessibility validator,Accessibility is part of scholarly communication and reuse,nature-figure; manuscript-surface-qa,"Alt text, long descriptions, semantic headers, transcripts, meaningful links",Missing alt text and duplicate-caption alt text fixtures fail,Section/figure contracts,PR9,proposed
P1,Packaging,Export RO-Crate/DataCite-aligned release metadata,Project bundle needs portable provenance and persistent relations,release exporter (new),Valid crate metadata; versions/relations/licenses/creators/funders represented,Schema validation of example release crate,State/provenance graph,PR9,proposed
P1,Revision,Add semantic diff and claim-strength regression,Polishing/revision can silently change scientific meaning,academic-writing revise mode,"Diff tracks claims, numbers, qualifiers, citations, identifiers; changed items reverified",Replace associated with caused mutation is blocked,Claim ledger,PR7,proposed
P1,Post-publication,Add correction/update/withdrawal workflow,Research state should not end at submission,release/versioning (new),New versions link to old; affected claims/artifacts identified; notices preserved,Correction to one analysis propagates to figures/claims,Provenance graph,PR9,proposed
P1,Consolidation,Merge polishing into academic-writing modes,Duplicate routers create drift,nature-polishing; academic-writing,Single authoritative contracts; compatibility entry point delegates without duplication,Same revision produces same state through both entry points,Section contracts,PR7,proposed
P1,Consolidation,Migrate proposal state into research contract,Proposal and paper lifecycles should preserve lineage,nature-proposal-writer; research-design,Proposal objects become upstream project/protocol versions; arbitrary score gates removed,Proposal-to-paper fixture preserves question and deviations,Research contract,PR7,proposed
P2,Compatibility,Freeze nature-writing as support-only facade,Legacy duplicate authority increases maintenance cost,nature-writing; academic-writing,Facade delegates; authoritative assets moved to neutral paths; deprecation tests,No implicit invocation; migration warnings and docs,,PR7,proposed
P2,Documentation,Generate documentation from schemas and adapters,Hand-copied policy prose drifts,docs generator (new),"Reference docs, field tables, examples, and manifests generated from versioned sources",CI detects generated-doc drift,Schemas,PR10,proposed
P2,Policy provenance,Add reviewed date/source/version to policy snapshots,Current guidance changes over time,academic-shared/policy-snapshots,"Every external adapter records authority, version/date, reviewed date, unresolved conflicts",Stale policy warning after configured interval,Reporting resolver,PR10,proposed
P2,Bilingual quality,Add English/Chinese semantic parity tests,Bilingual mirrors can diverge scientifically,docs; READMEs; skill mirrors,Key invariants and examples map across languages; translation cannot alter claim strength,Mutation in one language mirror fails CI,Generated docs,PR10,proposed
P2,Evaluation,Create versioned benchmark corpus and adjudication protocol,Long-term quality needs stable measurement,evaluation/benchmark (new),"Licensing, confidentiality, gold labels, ambiguity policy, adjudicator roles, versioning documented",Benchmark release validates and reproduces baseline metrics,Behavioral harness,PR10,proposed
P2,Context efficiency,Load contracts by dependency graph rather than giant manifests,Large prose context increases cost and inconsistency,manifests; router,Minimal required invariants always load; adapters/sections load on demand; dependency tests,Task loads no unrelated PPT/patent/section assets,Canonical architecture,PR10,proposed
